Ulasan,Sentimen
Udah berlangganan tp masih aja muncul iklan dan notif kalo belum langganan. Di pair ke TV lemot bgt film nya pas diputer. Tolong perbaikan nya,Negatif
Percuma bayar jdi langganan juga kalau kaga bisa di gunain mah semahal2 sayang2 duit,Negatif
"Gak jelas, udah berlangganan tp masih disuruh berlangganan lagi,",Negatif
Terlalu banyak iklan. Menggangu dan tidak menarik 👎,Negatif
Gk ush paket express lgi bukan kereta wkwkw,Negatif
"Kita udah beli paket untuk 1 bln tapi untuk nonton flm sampai akhir jugak kita harus beli lagi, harunya kalau kita udah beli paket satu bln ya harusnya kita udah bebas nonton sampai akhir flm",Negatif
Bagus,Positif
Apk streaming terbaik menurut saya selain yt,Positif
Banyak iklan dan apk nya jadi jelek,Negatif
Sisa 1 🌟 klu bagus,Positif
"Sudah beelangganan sejak lama, dan otomatis perpanjang tetapi justru saat ini paketnya selalu minta beli ulang padahal sudah ada email sudah diperpanjang. Mau beli keterangan sudah aktif TETAPI TIDAK BISA DIGUNAKAN",Negatif
"Gak pernah pake apk ini, terpaksa download cuma buat nonton byon doang sih hehe",Negatif
Nice,Positif
"Mines gk bisa hapus history,waduh makin kesini makin banyak vareasi filmnya baguss pools developer nyaa manataps",Negatif
"Mau nonton liga 1 video nya patah² atau nge leg parah , padhal pakai wifi dan sdh di uninstall ulang tetap sama pdahal sudah bayar jdi gak bisa nonton, udh lebih dari 2 bulan begini, awal² masih bisa hilang patah² nya walaupun harus di buka tutup beberapa kali aplikasi nya 👎👎👎",Negatif
apk kntl lemot ck dnck,Negatif
sering lag,Negatif
"gimana inii mohon maaf,katanya tunggu kode dulu tapi kode nya nda di kirim udah cape"" nunggu,mohon tolong di perbaiki yah",Negatif
Okay,Positif
Lemot apk nya,Negatif
Saya udah bayar untuk 30 hari Tpi kenapa saya harus bayar lagi seharga 7rb nontok zona merah episode k 4 Melayang donk duit syaa hampir 45rb Pembohongan publik bgt ni,Negatif
Payah serih gak bisa di puter sering hilang,Negatif
"Kok aku gak bisa nonton episode 4 ya, masa harus bayar express, padahal udh tgl 21 nonton reguler harusnya udh bisa, masa masih express aja, gimna si",Negatif
tegang juga,Positif
Good,Positif
"tolong min iklan nya kurangin,ganggu banget iklan hampir 1 menit",Negatif
Film sering macet2 gak jelas dan gak work it,Negatif
yang drama my heart yang diperanin Mike sama raisa itu gratis atau berbayar yaa??,Negatif
Bagus banget aplikasi pidio sayah kasih bintang5,Positif
"Sering bug parah, tiba tiba pas streaming malah teks dan video gk sesuai.",Negatif
Aplikasi apa co ga ikhlas bgt padahal udh beli paket tpi masih aja ada banyak iklan gajelas,Negatif
"Bagus, adminnya fast respond",Positif
Top banget,Positif
Bagus👍👍👍,Positif
"Tambah mahal, Film gak Komplit",Negatif
Lumayan bagus tapi kendala nya cuman sering iklan ajah di saranin dikurangin iklan nya soalnya nonton nya jadi gk seru Trmksh🙏,Negatif
"apaan si,gw beli paket 29rb byon vol 4 pulsa gw udah gw lebih in malah kaga cukup mulu kikir bet lu jing",Negatif
Terima kasih,Positif
"Berlangganan pakai STB mau nonton lemot banget, ujung2nya gak bisa dibuka. Padahal sudah berlangganan 1 th. Aplikasi paling zolim",Negatif
Yahut ok,Positif
"Kira kira klo mau bikin stasiun tv hd jarak satu RT habis berapa ya..mungkin bisa bantu kasih info,soalnya di tempatku belum ada stasiun tv RT supaya klo ada acara RTan bisa di siarkan di tv dan seluruh warga bisa menyaksikan,trima kasih",Positif
Sdh langganan tdk bisa dibuka,Negatif
Bagaimana cara berhenti berlangganan vidio ??? Kami kapok berlangganan aplikasi ini. Setiap hari masuk sms 4x. Tolong beritahu cara berhenti,Negatif
Nice,Positif
Banyak iklan baru satu episode ikannya 14 kali,Negatif
"Udah berlangganan masih aja kadang muncul iklan, buat nonton siaran bola gambarnya putus2, yang mau berlangganan mending dipikir lagi, bayar tapi ga worth it, hanya siaran lokal aja yg selalu lancar, buat siaran luar sering putus2, walaupun inet full speed.",Negatif
"Sekelas pertandingan Argentina vs peru aja gak tayang, sama pertandingan Brazil, nyesel gue perpanjang paket anjirrr aplikasi GK modal",Negatif
"Biasa bayar pake pulsa sekarang ga bisa harus gopay aja, pdhal pilihan pembayaran banyakkk",Negatif
"Saya berlangganan tgl 6 smpe menguras pulsa 75rb tp blm smpe sebulan (tgl 20) sudah tidak bisa di gunakan, di haruskan aktifkan paket lagi. Sangat kecewa",Negatif
"Tolong dong masih banyak bug, terutama saat nonton parineeti yang episode nya banyak, saya mau nonton tapi episode beberapa hari sebelumnya suka pada ilang",Negatif
Jaringan aplikasi vidio langsung macet sampai mati sehingga tidak bisa dapat menonton lagi,Negatif
Ga jelas tot,Negatif
Payah.. Giliran live bola.. Malah chanel ora ada...😤,Negatif
Gk ada yg gratis males,Negatif
Bagus 👍,Positif
"app macam apa ni ga jelas bet,",Negatif
Mantap bagus,Positif
"bagus, tp gada RCTI?",Negatif
Jelek rcti tidak ada tidak bisa nonton bola Indonesia vs arab,Negatif
Jelek banget,Negatif
Aplikasi babiiii rugi down load,Negatif
Good,Positif
Aplikasi goblog udah bayar pas nonton filem series malah vidionya kadang stak tapi masih muter masih ada suara kadang alur mundur tapi masih ada suara aplikasi macam apa udh bayar malah ga merasa puas tolol amat.........,Negatif
"Menyesal download apk ini,,nonton bola gk ada,,ada nya cuman omong doang",Negatif
sekarang jadi ribett paketnya kalo lagi diluar negeri gk bisa digunakan,Negatif
Sangat bgus,Positif
Payah payment google pay update lama saldonyaa...,Negatif
Percuma langganan platinum.. Sepak bola Indonesia aja gag bisa,Negatif
"Jelek,banyak iklan.percuma ngintal.buang2 kuota.nyesell.masih beli paket,ah ribet.bagusnya dihapus",Negatif
Ga bisa live timnas Indonesia,Negatif
seru banget dah,Positif
Kebanyakan iklan mulu,Negatif
Aplikasi tontonan yang bermutu dan ngga ribet. Semoga Video makin maju.,Positif
Bisa nontong lif te,Positif
"Seharian apk gak bisa loading.. muter2 terus padahal wifi lancar, streaming di apk lain lancar. Gak cuma di hp, di smart TV juga gak bisa loading sama sekali.",Negatif
"PERBAIKI KUALITAS NYA, UDH BERLANGGANAN MASIH AJA BERMASALAH, LAGI NONTON SELALU PUTUS"" FILMNYA PADAHAL JARINGAN AMAN",Negatif
Seharusnya saya kasih bintang setengah sayangnya tidak ada. Saya sangat mengeluhkan perihal di aplikasi ini. 1. Ngelag parah bukan karena paktor jaringan saya akan tetapi dari server apk inilah yg tidak muat dalam akses penggunanya. 2. Kalau mau nonton timnas sangat tidak di sarankan untuk premium di apk ini karena anda tidak akan menonton pernh bisa nonton timnas. 3. Banyak type untuk langganan (cukup membingungkan) 4. Bsa dibilang apk lies. Iklan timnas tp stlh premium tdk bsa nnton timnas,Negatif
Saya dipermalukan vidio Rencana nonbar timnas di kampung Sdh persiapan konsumsi Sdh berlangganan premium Ternyata tidak ada siaran timnas,Negatif
"Udah langganan tapi paketnya ga aktif,, nyeles udh keluar uang",Negatif
it's okay,Positif
sangat memuaskan,Positif
Tolong lah developer ny apk ny si udah bagus cuman iklan ny ini loh banyak banget satu vedio aja iklan ny masih ad 8 mana satu iklan ny dua vedio lagi trus rata.rata durasi iklan ny satu menit tan semua lagi tolong lah perbaiki ni iklan kuota gua jdi boros bnget karna iklan,Negatif
Kenapa stlh di dowload melalui TV android ga bisa yah utk dibuka slalu bertulisan vidio telah terhenti trus buka apliaksi lagi,Negatif
"Suka ketemu translasi subtitle yang nyimpang dari apa yang karakternya lagi bicarain. Player videonya juga sering nge-lag walau sudah bersihin cache berkali-kali. Padahal koleksi film dan seriesnya udah banyak, jadi mubazir kalo fitur lainnya banyak kekurangannya.",Negatif
Kenapa lihat di tv GK bisa lancar padahal udah premium yg bagus kecewa banget tau,Negatif
"aplikasi sampah, aplikasinya sering putus putus buat nonton,",Negatif
Film macet2an trus,Negatif
Ada Joker tuh 👣,Negatif
apk bagus mines susah langganan padahal udah ganti imel,Negatif
Jorok bobrok,Negatif
tidak wort it,Negatif
Dari bulan September sampe November sekarang saldo ovo saya kepotong terus untuk paket olimpiade Paris... Padahal kan olimpiade berakhir di bulan Agustus... Aneh banget...,Negatif
Bagus,Positif
"Gak worth it nonton di sini , terlalu banyak iklan mengganggu saat nonton jd nya gak fokus , durasi iklan nya juga terlalu lama , di setiap per berapa menit iklan selalu muncul jelek , sangat tidak di rekomendasikan untuk install aplikasi ini",Negatif
Suara ngilang ngilang,Negatif
Vidio sports,Positif
"Apa coba buffering, lag"" padahal sinyal baik"" Aja Rusak apk lu bng!! anehh sia"" 20k gw mending beli naspad knyang seharian, dari pada kesal sebulan gra"" Apk gjls",Negatif
Gabisa nonton vidio padahal udh di update trus udah isi paketan nya tapi tetep aja gabisa dari pagi sampe sekarang sinyal lancar di apk lain tapi di vidio gabisa nonton muter truss,Negatif
Kenapa muter muter si padahal sinyalnya 4G 😑😑,Negatif
"Aplikasi jualan,banyak iklan Nye ...🤬",Negatif
Kenapa loading terus mulai tgl 15,Negatif
"Kemarin tgl 17 Nov 2024 jam 7 malam, ada teman sy mau lihat Trans7 di aplikasi ini, ternyata bukan suruh penonton tonton di SPOTV, malah tyg program lain, akhirnya dia mengaku gak mau beli paketnya lagi tahun depan, katanya malas lihat apk PENIPU macam ini",Negatif
"aplikasi apalah apalah banyak iklan, saldo kepotong terus blogggg",Negatif
"Maaf ini kenpa yaa kok filmnya gk bisa di buka, pdhl halaman awal baik² aj tp knp pas mau nntn muter² trs apk udh di update jaringan jg oke. Tolong jelaskan...... Apa cm saya aja?",Negatif
"39.000 lumayan ok, tapi 43.290 PPn 4290.. chenel TV gak lengkap, Filemnya Filem lama semua,, 🤣🤣🤣🤣🤣🤣..",Negatif
Parah kaliiiii bahhh beli paket platinum sdh kesekian kali tpi g juga ada perbaikan kwalitas .. kebanyakan nnton iklan saya .. iklan yg berulang2 klo ndk dibalikin ke beranda iklan trusssss .. blm lagi buferring .. Parah parah ..,Negatif
Video nya tidak bisa di play cuma muter muter doang pdahal buka apk lain lancar aja,Negatif
Tolong segera diperbaiki saya gak bisa nonton film nya,Negatif
cuma mau bilang tolong ilangin iklan axis futsal!!!,Negatif
Gila iklannya gak ngotak sampe 1 menit,Negatif
"Semuanya udah bagus,mau dari aplikasi,kualitas gambar,dan film. Tapi untuk iklannya sangat mengganggu sekali,,Malahan iklan 1 menit gak bisa di skip,dan itu sangat membuat saya tidak nyaman,,Karena iklan yang ditampilkan bukan hanya tidak bisa di skip,tetapi juga banyak iklannya. Mungkin itu saja,Saya beri bintang 1 karena dipaksa untuk nonton iklan",Negatif
Iklan nya bikin males nonton..,Negatif
"Parah banget udah bayar express, tidak bisa di tonton alasan limit device. Ampas banget sumpah apk video",Negatif
Alhamdulillah Lumayan Buat Sementara... Moga Bisa Ke Beli TV....,Positif
kapan mau nambah canel tv nya kak,Positif
Min knpa video ku GK bisa d bukak semua ya Chanel apapun ada yg bisa bantu jawab apa punya ku aj soalnya baru 3 hri in...,Positif
"Beli aplikasi awalnya bisa nonton MotoGP Eh suruh beli paket lagi... Buka sport NBA, liga pegadaian, malah layarnya kosong ( hitam )... Semoga bisa lebih baik lagi",Negatif
"Terlalu banyak gangguan kalo di Smart TV. Suka error , Tambah lagi sudah ada iklannya , padahal sudah langganan , mana iklannya tidak bisa di skip.",Negatif
"Jangan dibeli jangan langganan aplikasinya suka ngelag pas dipake nonton balap, dipake nonton film suka buffering",Negatif
"tolong dong untuk spotv jangan kebanyakan iklan, saya nonton motogp, race mau di mulai malah iklan ganggu banget sumpah",Negatif
saya mau nonton ko nggk bisa di buka ini knp,Negatif
"saldo hilang paket langganan sdh ada tetapi masih harus berlangganan lagi, kan aneh",Negatif
kebanyakan iklan,Negatif
mau pake wifi mau pake data sama aja lemot trus gabisaaa nonton kesel deh,Negatif
kok akhir2 ini setiap mau nonton apapun loading terus ya gk keputar2 padahal sinyal dan kuota full:(,Negatif
"Saya sudah setiap bulan berlangganan, tapi kalo nonton video selalu putus² pokonya nglag parah!!!!! Padahal apk ini boros bgt kuota. Tolong di perbaiki bug nya!!!",Negatif
Terlalu banyak ikalan,Negatif
"Ini setiap mau nonton TV yang ada iklan pop up dulu , tapi kenapa iklan pop up nya gak jalan, malah buffer terus , udah 3 hari gak bisa dibuka, malah buffer terus.",Negatif
Semoga bagus,Positif
Saya sangat senang dengan app ini sebab saya bisah menonton darakor yang saya ingin kan seperti flem yang lain tapai kalau kita menonto haru ada iklan sih tapi gk pp 😊😊 semoga sukses selalu untuk aplikasi vidio ini 😊😊😊,Positif
Aplikasi banyak iklan dan bug nya tidak merekomendasikan dan sangat mengecewakan,Negatif
Kenapa ko loading terus,Negatif
"Seru bisa nonton apa Aja di sinih , seru banget gak usah ribet ribet cari aja di sini 🌷",Positif
Bagus,Positif
"Nyesel langganan premium, ngelag2 gak jelas",Negatif
"Gak jelas buang"" kuota aja gk maksimal",Negatif
"apalah padahal kuota ada, tp pas mau di tonton cuma muter muter doang layar item ga jelas anj",Negatif
Aplikasi,Positif
"Dari kemarin gabisa nonton, padahal jaringan bagus semuanya bagus tapi muter terus, tolong diperbaiki dong min",Negatif
"Saya tidak dapat memutar vidio pada saat di klik vidionya tidak ada gambarnya muter aja ditunggu lama tetep saja , knp ya mohon solusinya",Negatif
Film nya sedikit nyesel langganan di sini,Negatif
"Kenapa aplikasi video sekarang gak bisa ,eror terus, padahal kuota banyak",Negatif
kurang puas dan kurang mantap..tidak bisa menampilkan kualifikasi piala dunia timnas Indonesia,Negatif
Enak bgt pake aplikasi nyaa tapi sayang nya ketika ada iklan game saya sudah tidak bisa memutar vidio kembali,Negatif
Bagus buat hiburan,Positif
MotoGP pas sprint sama race loading terus...padahal sinyal bagus,Negatif
Nge bug trs setiap beres iklan nonton nya gmna,Negatif
aneh sesudah iklan ngelag ga singkron suara sma video nya,Negatif
aneh saya ga bisa nonton apa2,Negatif
"ini gimana ya? baru 2 hari yg lalu download apk vidio,lancar lancar aja!!!! untuk nonton live,tpi skrng kok malah ga bisa muter sih live nya, padahal jaringan udah bgus tpi msih aja terusan!!!!! loading,udah nungguin setengah jam tpi tetep ga bisa muter,tadinya mau nonton live magic five tpi malah ga bisa!!!!, tolong sarannya ya supaya nonton live di apk vidio bisa lancar tanpa harus nunggu Berjam jam..🙏 kalo saranya membantu/berhasil saya kasih bintang 5 dengan segera...",Negatif
"Langganan SPOTV. Aplikasi ga jelas.. kebanyakan eror nya. Aplikasi netflix aman aman aja.. Report juga cuman jawaban template. Paket masih aktif sampe 1 desember, tp di suruh beli lagi. Giliran beli lagi eh malah eror. Keterangannya anda masih dalam langganan paket ini. Gajelas,. Motogp lewat mulu.",Negatif
"Aplikasi vidio banyak iklan sudah beli paket masih saja macet padahal sinyal bagus aplikasi vidio bab1 s3tan""",Negatif
Vidio ko GK bisa dibuka saat mau nonton live streaming?,Negatif
Bagus tpi suka tiba tiba ga bisa nonton loding terus,Negatif
Aplikasi ap lemot udh langganan msih lemot,Negatif
Asikk bngt meskipun gak punya tv dirumah msih bisa nntn acara tv di aplikasi vidio🤩,Negatif
"Mantabb...apa lg film Dear Dosen,ku. Yg main Rayn Wijaya sm Dinda kirana. Kocak bgt. Gbu",Negatif
Tolong dong iklan dihilangkan ..lama kelamaan menjengkelkan tiap lagi seru2nya nonton ditengah2 film muncul terus2san.. Tolong perbaiki iklannya..,Negatif
Aplikasi yg sangat giateellllii cuk,Negatif
Saya kok tiap buka aplikasi kok lag ya? padahal buka aplikasi lain lancar banget,Negatif
Terima kasih atas aplikasi nya sangat berarti,Positif
Nonton videonya pasti macet trus suaranya aja yang jalan,Negatif
Udah berlangganan tapi film nya sedikit dan banyak film Indonesia yang tidak senonoh di tonton+nonton timnas ngak bisa.dan saya harap vidio ke depan nya bisa memperbanyak film Hollywood dan film² luar negeri,Negatif
"Kenapa saya tidak bisa menonton replay magic 5 seosen 3, klo di klik vidionya cma ada lingkeran yv muter2 udah aku tunggu lama gk jga pe play vidionya",Negatif
Aplikasi eror gk bisa nonton blank di web bisa tapi gk enk,Negatif
Udah bagus sih tapi masa yang gratis untuk di download harus bayar sih sama aja lah premium tolong untuk yang buatnya kalo download dengan video ada tulisan gratis kalo di unduh juga gratis,Negatif
Bagus,Positif
"Udah langganan kok masih macet macet tolong kwalitas di jaga, kalo aplikasi gratis si bisa di maklumi. Ini udah berbayar kwalitas rendah",Negatif
Nonton bola trouble Mulu.,Negatif
Apk tolol,Negatif
"Nonton live liga 2 buffer dan akhirnya tidak bisa di mainkan, bayar mahal mahal",Negatif
sudah berlangganan buat nonton streaming bola malah eror terus gajelas,Negatif
Lihat motogp hari ini TIDAK PUAS siaran MACET MACET,Negatif
Bosok asu,Negatif
Awal nya mudah untuk nonton kok lama² gk bisa di tonton Makanya ak pke bintang 4.. Trimakasih,Negatif
Mantap,Positif
"iklan nya tolong dikondisikan, udh iklan 2 kali eh belum semenit udh iklan lagi, mana kadang iklan nya 40-50 detik, dan itu gabisa diskip loh!!!",Negatif
"Langganan saya masih aktif, tapi muncul notifikasi untuk mengaktifkan Premier. Selain itu, saya tidak bisa menonton konten penuh dan malah hanya mendapat spoiler. Mohon segera diperbaiki.",Negatif
min premium nya ga bisaa aelah bikin rugi aja,Negatif
Kesel jd berbayar kl mau nonton live moji😡😡,Negatif
Tidak lengkap,Negatif
"Bintang satu dulu lah,, semalam baru di pasang paket bulanan nya malah lelet Kebanyakan iklan juga skrg",Negatif
nggak usah buat apk lagi tolol,Negatif
"Kok malah gabisa nonton padahal kuota ada jaringan pun bagus tapi pas mau nonton muter"" apk gajelas",Negatif
"maaf ada kendala apa ya sekrng lihat video gc bisa muter terus.. pdhl sya stiap hri liat gc paapa , bru td mlm kok muter trus gc bsa di tonton",Negatif
